species,sex,maturity,alpha,beta
snow crab,male,,0.000267,3.097253
snow crab,female,mature,0.001158,2.708793
snow crab,female,immature,0.001047,2.708367
tanner crab ,female,mature,0.000441,2.898686
tanner crab ,female,immature,0.000562,2.816928
tanner crab ,male,,0.00027,3.022134
